"","applicant_name","year","quarter","patent_name","patent_region","patent_no","patent_no_list","application_number","file_date","file_year","citations","abandoned","classification_1","classification_2","classification_3","classification_4","classification_7","classification_8","inventor_1","previous_application_stripe","applied","awarded","location","tags","volume","negativity_rating","permanence","price","contractprice","current_cost_per_tonne","capex","opex","quantification","thirdparty verification","net_neg sequestration_todate","lifetime mtco2e","gross project emissions","offer_quantity","contract_quantity","R_and_D_offer","awarded_factor","realised_cost_decrease","price_contract_diff","quantity_contract_diff","awardednum","sum_patents","treat_date"
"62","8 Rivers",2021,4,"Diverged-beam communications system",NA,NA,"US-9847834-B2",NA,2015-01-09,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Miles R. Palmer, Aleksander Edward Osadzinski, William J. Brown",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"63","Vandersanden",2020,1,"Method of manufacturing bricks, apparatus and arrangement for use in such a method, and bricks produced therewith.",NA,NA,"NL-2014346-B1",NA,2015-02-24,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Bartholomeus Marie Jansen Franciscus",0,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,20,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",0,0,0,0,13,2020-05-18
"64","CarbonCure",2020,1,"Compositions and methods for delivery of carbon dioxide","EU",NA,"EP-3129753-B1",NA,2015-03-09,2015,NA,0,NA,NA,NA,NA,NA,NA,"Dean Paul Forgeron, Joshua Jeremy Brown, George Sean Monkman, Paul J. Sandberg",0,1,1,"North America","Storage",60000,1,1000,100,100,100,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",0,0,117500,1,26,2020-05-18
"65","CarbonCure",2020,1,"Modulation of thixotropic properties of cementitious materials","EU",NA,"EP-3131723-A1",NA,2015-04-16,2015,NA,0,NA,NA,NA,NA,NA,NA,"Paul J. Sandberg, George Sean Monkman, Kevin Cail, Mark Macdonald, Dean Paul Forgeron, Joshua Jeremy Brown",0,1,1,"North America","Storage",60000,1,1000,100,100,100,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",0,0,117500,1,26,2020-05-18
"66","Biorecro",2020,1,"Process for Separating and Enriching Carbon Dioxide from Atmospheric Gases in Air or from Atmospheric Gases Dissolved in Natural Water in Equilibrium with Air.","US","9,266,057 B1","US9266057B1","US14/697,466",2015-04-27,2015,13,0,"B01D53/1475 Removing carbon dioxide"," B01D53/1406 Multiple stage absorption"," B01D53/1425 Regeneration of liquid absorbents"," B01D2252/103 Water","Y02C20/40 Capture or disposal of greenhouse gases of CO2","Y02W10/37 Wastewater or sewage treatment systems using renewable energies using solar energy","Robert Lee Jones",0,1,0,"Stockholm, Sweden","biomass,injection",50000,0,1000,99,NA,99,NA,NA,NA,NA,50000,NA,NA,50000,NA,NA,"0",0,0,0,0,1,2020-05-18
"67","CarbonCure",2020,1,"Methods and compositions for concrete production","US",NA,"US-9388072-B2",NA,2015-04-30,2015,NA,0,NA,NA,NA,NA,NA,NA,"Robert Niven, George Sean Monkman, Dean Paul Forgeron, Kevin Cail, Joshua Jeremy Brown, Paul J. Sandberg, Mark MacDonald",0,1,1,"North America","Storage",60000,1,1000,100,100,100,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",0,0,117500,1,26,2020-05-18
"68","Climeworks",2020,1,"Direct air capture device",NA,NA,"CN-106488795-B","CN201580029954.8A",2015-05-28,2015,25,0,NA,NA,NA,NA,NA,NA,"克里斯托夫·格巴尔",0,1,1,"Iceland","DAC",50,0,1000,767.5,775,767.5,NA,NA,NA,NA,50,NA,NA,1,322.5,0,"1",0,-7.5,-321.5,1,29,2020-05-18
"69","Climeworks",2020,1,"Steam assisted vacuum desorption process for carbon dioxide capture",NA,NA,"EP-3166708-B1",NA,2015-06-30,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Christoph Gebald, Nicolas REPOND, Jan AndrÃ© Wurzbacher",0,1,1,"Iceland","DAC",50,0,1000,767.5,775,767.5,NA,NA,NA,NA,50,NA,NA,1,322.5,0,"1",0,-7.5,-321.5,1,29,2020-05-18
"70","8 Rivers",2021,4,"Method and system for power production with improved efficiency",NA,NA,"EP-3613965-B1",NA,2015-07-07,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Rodney John Allam, Brock Alan Forrest, Jeremy Eron Fetvedt",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"71","CarbonCure",2020,1,"Methods for carbonation of a cement mix in a mixer","US",NA,"US-9463580-B2",NA,2015-07-10,2015,NA,0,NA,NA,NA,NA,NA,NA,"Dean Paul Forgeron, George Sean Monkman, Kevin Cail, Joshua Jeremy Brown",0,1,1,"North America","Storage",60000,1,1000,100,100,100,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",0,0,117500,1,26,2020-05-18
"72","Solugen",2021,2,"Hydrogen peroxide production method, system, and apparatus",NA,NA,NA,NA,2015-07-15,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Gaurab Chakrabarti",0,1,0,"Texas, USA","biomass,injection",16384,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,9824,0.4,9824,NA,NA,"0",NA,0,0,0,40,2021-05-17
"73","8 Rivers",2021,4,"Production of low pressure liquid carbon dioxide from a power production system and method",NA,NA,"US-10047673-B2",NA,2015-09-09,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Rodney John Allam, Brock Alan Forrest, Jeremy Eron Fetvedt",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"74","Carbon Sequestration Inc",2020,1,"Tidal hydro electric power system","Canada","CA2910725A1","CA2910725A1","CA2910725A",2015-10-28,2015,2,1," E02B9/08 Tide or wave power plants","F03B13/262 Adaptations of machines or engines for special use; Combinations of machines or engines with driving or driven apparatus; Power stations or aggregates characterised by using wave or tide energy using tide energy using the relative movement between a tide-operated member and another member"," F05B2240/931 Mounting on supporting structures or systems on a structure floating on a liquid surface which is a vehicle","F05B2260/60 Fluid transfer",NA,NA,"David Lloyd Tait",0,1,0,"East Texas, USA","biomass,storage",71019,0,100,42.5,NA,42.5,NA,NA,NA,NA,64215,NA,NA,64215,NA,NA,"0",0,0,0,0,1,2020-05-18
"75","8 Rivers",2021,4,"Shaft seal device and power generation system",NA,NA,"JP-2016075285-A",NA,2015-11-18,2015,NA,NA,NA,NA,NA,NA,NA,NA,"å’Œå­ é¶´ç”°, Kazutaka Tsuruta, å’Œå­ é¶´ç”°, å²©å¤ªéƒŽ ä½è—¤, Iwataro Sato, å²©å¤ªéƒŽ ä½è—¤",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"76","CarbonCure",2020,1,"Methods and compositions for concrete production","Canada",NA,"CA-2968246-C",NA,2015-11-24,2015,NA,0,NA,NA,NA,NA,NA,NA,"George Sean Monkman, Kevin Cail, Paul J. Sandberg, Mark Macdonald, Joshua Jeremy Brown, Dean Paul Forgeron",0,1,1,"North America","Storage",60000,1,1000,100,100,100,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",0,0,117500,1,26,2020-05-18
"77","IndigoAg",2020,1,"Seed endophytes across cultivars and species, associated compositions, and methods of use thereof",NA,NA,"US-10667523-B2",NA,2015-12-30,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Karen V. Ambrose, Nathan A. Billings, Slavica Djonovic, Richard Bailey Flavell, Trudi A. GULICK, David Morris Johnston, Jonathan W. Leff, Stephanie M. Liva, Jeffrey Lyford, Geoffrey von Maltzahn, Luis Miguel Marquez, Yves Alain Millet, Craig Sadowski, Phillip Samayoa, Gerardo V. Toledo, David R. WEISMAN, Xuecheng Zhang",0,1,0,"Midwest and Southern USA","soil,farming",550000,0,100,20,NA,20,NA,NA,NA,NA,1e+05,NA,NA,1e+05,NA,NA,"0",0,0,0,0,45,2020-05-18
"78","Climeworks",2020,1,"Production process and production system for producing methane/gaseous and/or liquid hydrocarbons",NA,NA,"CA-2982275-C",NA,2016-04-07,2016,NA,NA,NA,NA,NA,NA,NA,NA,"Christian Von Olshausen, Dietmar Ruger, Jan Andre Wurzbacher, Christoph Gebald",0,1,1,"Iceland","DAC",50,0,1000,767.5,775,767.5,NA,NA,NA,NA,50,NA,NA,1,322.5,0,"1",0,-7.5,-321.5,1,29,2020-05-18
"79","Solugen",2021,2,"Method and apparatus of search using big data",NA,NA,NA,NA,2016-04-15,2016,NA,NA,NA,NA,NA,NA,NA,NA,"ê¹€ì¸ì¤‘",0,1,0,"Texas, USA","biomass,injection",16384,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,9824,0.4,9824,NA,NA,"0",NA,0,0,0,40,2021-05-17
"80","IndigoAg",2020,1,"Seed-origin endophyte populations, compositions, and methods of use",NA,NA,"AU-2016202480-A1",NA,2016-04-19,2016,NA,NA,NA,NA,NA,NA,NA,NA,"Slavica DJONOVIC, Richard Flavell, David Morris JOHNSTON, Jeffrey LYFORD, Luis Miguel MARQUEZ, Yves Alain MILLET, Alexander NAYDICH, Craig SADOWSKI, Gerardo V. Toledo, Geoffrey Von Maltzahn",0,1,0,"Midwest and Southern USA","soil,farming",550000,0,100,20,NA,20,NA,NA,NA,NA,1e+05,NA,NA,1e+05,NA,NA,"0",0,0,0,0,45,2020-05-18
"81","Emissol",2022,4,"System and method for spray visualization",NA,NA,"US-10369582-B2",NA,2016-04-28,2016,NA,NA,NA,NA,NA,NA,NA,NA,"Mansour Masoudi",0,1,0,NA,NA,NA,NA,NA,1272,NA,1272,583,647,30,12,NA,463,37,393,NA,NA,"0",0,0,0,0,6,2022-12-15
"82","CarbonCure",2020,1,"Methods and compositions for concrete production","US",NA,"US-9738562-B2",NA,2016-05-17,2016,NA,0,NA,NA,NA,NA,NA,NA,"George Sean Monkman, Kevin Cail, Paul J. Sandberg, Mark MacDonald, Joshua Jeremy Brown, Dean Paul Forgeron",0,1,1,"North America","Storage",60000,1,1000,100,100,100,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",0,0,117500,1,26,2020-05-18
"83","Vandersanden",2020,1,"Prefabricated wall panel",NA,NA,"BE-1024001-A1",NA,2016-05-30,2016,NA,NA,NA,NA,NA,NA,NA,NA,"Jean-Pierre Wuytack",0,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,20,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",0,0,0,0,13,2020-05-18
"84","8 Rivers",2021,4,"System and method for startup of a power production plant",NA,NA,"EP-3308004-B1",NA,2016-06-13,2016,NA,NA,NA,NA,NA,NA,NA,NA,"Jeremy Eron Fetvedt, Brock Alan Forrest",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"85","CarbonCure",2020,1,"Integrated carbon dioxide capture","US",NA,"US-10570064-B2",NA,2016-06-16,2016,NA,0,NA,NA,NA,NA,NA,NA,"George Sean Monkman, Robert Niven, Kevin Cail, John Kline",0,1,1,"North America","Storage",60000,1,1000,100,100,100,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",0,0,117500,1,26,2020-05-18
"86","IndigoAg",2020,1,"Penicillium endophyte compositions and methods for improved agronomic traits in plants",NA,NA,"US-2018213800-A1",NA,2016-06-24,2016,NA,NA,NA,NA,NA,NA,NA,NA,"Slavica Djonovic, Elizabeth Alexa MCKENZIE, Gerardo V. Toledo, Craig Sadowski, Geoffrey von Maltzahn, Karen V. Ambrose, Xuecheng Zhang, David Morris Johnston, Trudi A. GULICK",0,1,0,"Midwest and Southern USA","soil,farming",550000,0,100,20,NA,20,NA,NA,NA,NA,1e+05,NA,NA,1e+05,NA,NA,"0",0,0,0,0,45,2020-05-18
"87","CarbonCure",2020,1,"Carbonated fly ash as a cement replacement","Worldwide",NA,"WO-2017000075-A1",NA,2016-06-30,2016,NA,0,NA,NA,NA,NA,NA,NA,"George Sean Monkman, Dean Paul Forgeron, Mark Macdonald, Kevin Cail, Paul J. Sandberg",0,1,1,"North America","Storage",60000,1,1000,100,100,100,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",0,0,117500,1,26,2020-05-18
"88","Climeworks",2020,1,"Amine-functionalized fibrillated cellulose for co2 adsorption and methods for making same",NA,NA,"WO-2017009241-A1",NA,2016-07-08,2016,NA,NA,NA,NA,NA,NA,NA,NA,"Maria MALUSZYNSKA-HOFFMAN, Nicolas REPOND, Jan AndrÃ© Wurzbacher, Christoph Gebald",0,1,1,"Iceland","DAC",50,0,1000,767.5,775,767.5,NA,NA,NA,NA,50,NA,NA,1,322.5,0,"1",0,-7.5,-321.5,1,29,2020-05-18
"89","8 Rivers",2021,4,"System and method for high efficiency power generation using a nitrogen gas working fluid",NA,NA,"US-9611785-B2",NA,2016-07-14,2016,NA,NA,NA,NA,NA,NA,NA,NA,"Miles Palmer, Rodney John Allam, Jeremy Eron Fetvedt",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"90","CarbonCure",2020,1,"Carbonation of cement mixes","US",NA,"US-10350787-B2",NA,2016-08-18,2016,NA,0,NA,NA,NA,NA,NA,NA,"Dean Paul Forgeron, George Sean Monkman, Joshua Jeremy Brown, Kevin Cail, Jay CROSSMAN, Paul J. Sandberg, Mark MacDonald",0,1,1,"North America","Storage",60000,1,1000,100,100,100,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",0,0,117500,1,26,2020-05-18
"91","Vandersanden",2020,1,"Panel and hanging system for a curtain wall",NA,NA,"BE-1024601-B1",NA,2016-09-26,2016,NA,NA,NA,NA,NA,NA,NA,NA,"Maarten Wauters",0,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,20,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",0,0,0,0,13,2020-05-18
"92","CarbonCure",2020,1,"Carbon dioxide treatment of concrete upstream from product mold","US",NA,"US-2017165870-A1",NA,2016-10-03,2016,NA,0,NA,NA,NA,NA,NA,NA,"Robert Niven, George Sean Monkman, Dean Paul Forgeron",0,1,1,"North America","Storage",60000,1,1000,100,100,100,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",0,0,117500,1,26,2020-05-18
"93","Droneseed",2020,1,"Forestry information management systems and methods streamlined by automatic biometric data prioritization",NA,NA,"US-10078784-B2",NA,2016-10-12,2016,7,NA,NA,NA,NA,NA,NA,NA,"Jeff Prouty, Logan ULLYOTT, Grant CANARY",0,1,0,"WA, USA","forests,reforestation",31027,1,51,8.23,NA,500.02,NA,NA,NA,NA,584,NA,NA,400,NA,NA,"0",-491.79,0,0,0,4,2020-05-18
"94","8 Rivers",2021,4,"Integrated LNG gasification and power production cycle",NA,NA,"US-10415434-B2",NA,2016-11-18,2016,NA,NA,NA,NA,NA,NA,NA,NA,"Rodney John Allam, Jeremy Eron Fetvedt",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"95","Emissol",2022,4,"Catalytic converters having non-linear flow channels",NA,NA,"US-10598068-B2",NA,2016-12-20,2016,NA,NA,NA,NA,NA,NA,NA,NA,"Mansour Masoudi",0,1,0,NA,NA,NA,NA,NA,1272,NA,1272,583,647,30,12,NA,463,37,393,NA,NA,"0",0,0,0,0,6,2022-12-15
"96","IndigoAg",2020,1,"Endophyte compositions and methods for improvement of plant traits in plants of agronomic importance",NA,NA,"US-11751515-B2",NA,2016-12-21,2016,NA,NA,NA,NA,NA,NA,NA,NA,"Geoffrey von Maltzahn",0,1,0,"Midwest and Southern USA","soil,farming",550000,0,100,20,NA,20,NA,NA,NA,NA,1e+05,NA,NA,1e+05,NA,NA,"0",0,0,0,0,45,2020-05-18
"97","8 Rivers",2021,4,"Gas turbine facility with supercritical fluid â€œCO2â€ recirculation",NA,NA,"US-10794274-B2",NA,2016-12-27,2016,NA,NA,NA,NA,NA,NA,NA,NA,"Masao Itoh, Nobuhiro OKIZONO, Hideyuki Maeda, Yasunori Iwai, Jeremy Eron Fetvedt, Rodney John Allam",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"98","CarbonTo Stone",2022,4,"Methods and systems for capturing and storing carbon dioxide","US",NA,"US-2017333840-A1",NA,2017-02-03,2017,NA,NA,NA,NA,NA,NA,NA,NA,"Ah-Hyung Alissa Park, Edward J. Swanson, Huangjing Zhao, Greeshma Gadikota, Patrick V. Brady, Tushar Patel, Scott Banta",0,1,1,NA,"DAC",NA,NA,NA,394,394,393.3,150.6,243.3,0,0,NA,2250000,7750000,1269,846,0,"1",0.699999999999989,0,423,1,4,2022-12-15
"99","Solugen",2021,2,"Hydrogen peroxide and gluconic acid production",NA,NA,NA,NA,2017-02-13,2017,NA,NA,NA,NA,NA,NA,NA,NA,"Gaurab Chakrabarti, Sean T. Hunt",0,1,0,"Texas, USA","biomass,injection",16384,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,9824,0.4,9824,NA,NA,"0",NA,0,0,0,40,2021-05-17
"100","8 Rivers",2021,4,"System and method for power generation including methanation",NA,NA,"KR-20180116328-A",NA,2017-02-16,2017,NA,NA,NA,NA,NA,NA,NA,NA,"ë¸Œë¡ ì•Œëž€ í¬ë ˆìŠ¤íŠ¸, ì‹œì§€ì•„ ë£¨",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"101","CarbonCure",2020,1,"System and method of applying carbon dioxide during the production of concrete","US",NA,"US-2017158569-A1",NA,2017-02-16,2017,NA,0,NA,NA,NA,NA,NA,NA,"Michael Lee, Eric Alan Burton",0,1,1,"North America","Storage",60000,1,1000,100,100,100,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",0,0,117500,1,26,2020-05-18
"102","IndigoAg",2020,1,"Seed-origin endophyte populations, compositions, and methods of use",NA,NA,"US-10076120-B2",NA,2017-02-17,2017,NA,NA,NA,NA,NA,NA,NA,NA,"Geoffrey von Maltzahn, Richard Bailey Flavell, Gerardo V. Toledo, Slavica Djonovic, Luis Miguel Marquez, David Morris Johnston, Yves Alain Millet, Jeffrey Lyford, Alexander Naydich, Craig Sadowski",0,1,0,"Midwest and Southern USA","soil,farming",550000,0,100,20,NA,20,NA,NA,NA,NA,1e+05,NA,NA,1e+05,NA,NA,"0",0,0,0,0,45,2020-05-18
"103","CarbonCure",2020,1,"Methods and compositions for concrete production","US",NA,"US-10927042-B2",NA,2017-07-14,2017,NA,0,NA,NA,NA,NA,NA,NA,"George Sean Monkman, Kevin Cail, Paul J. Sandberg, Mark MacDonald, Joshua Jeremy Brown, Dean Paul Forgeron",0,1,1,"North America","Storage",60000,1,1000,100,100,100,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",0,0,117500,1,26,2020-05-18
"104","CarbonCure",2020,1,"Apparatus for delivery of a predetermined amount of solid and gaseous carbon dioxide","US",NA,"US-11773031-B2",NA,2017-07-25,2017,NA,0,NA,NA,NA,NA,NA,NA,"Dean Paul Forgeron, Joshua Jeremy Brown, George Sean Monkman, Paul J. Sandberg",0,1,1,"North America","Storage",60000,1,1000,100,100,100,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",0,0,117500,1,26,2020-05-18
"105","Climeworks",2020,1,"Low-pressure drop structure of particle adsorbent bed for adsorption gas separation process",NA,NA,"US-10427086-B2",NA,2017-08-02,2017,NA,NA,NA,NA,NA,NA,NA,NA,"Christoph Gebald, Nicolas REPOND, Tobias RUESCH, Jan AndrÃ© Wurzbacher",0,1,1,"Iceland","DAC",50,0,1000,767.5,775,767.5,NA,NA,NA,NA,50,NA,NA,1,322.5,0,"1",0,-7.5,-321.5,1,29,2020-05-18
"106","8 Rivers",2021,4,"Cryogenic air separation method for producing oxygen at high pressures",NA,NA,"US-10746461-B2",NA,2017-08-29,2017,NA,NA,NA,NA,NA,NA,NA,NA,"Rodney John Allam",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"107","8 Rivers",2021,4,"SYSTEMS AND METHODS FOR POWER PRODUCTION WITH ION CONDUCTING COMPONENTS",NA,NA,"KR-20190039819-A",NA,2017-08-29,2017,NA,NA,NA,NA,NA,NA,NA,NA,"ë¡œë“œë‹ˆ ì¡´ ì•ŒëžŒ, ì¥¬ë‹ˆì–´ ê¸€ëžœ ìœŒë¦¬ì—„ ë¸Œë¼ìš´, ë²¤ìžë¯¼ í˜¸í”„",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"108","8 Rivers",2021,4,"System and method for power production using partial oxidation",NA,NA,"EA-039851-B1",NA,2017-09-13,2017,NA,NA,NA,NA,NA,NA,NA,NA,"Ð‘Ñ€Ð¾Ðº ÐÐ»Ð°Ð½ Ð¤Ð¾Ñ€Ñ€ÐµÑÑ‚, Ð¡Ð¸Ñ†Ð·Ñ Ð›Ñƒ, Ð Ð¾Ð´Ð½Ð¸ Ð”Ð¶Ð¾Ð½ ÐÐ»Ð»Ð°Ð¼, Ð”Ð¶ÐµÑ€ÐµÐ¼Ð¸ Ð­Ñ€Ð¾Ð½ Ð¤ÐµÑ‚Ð²ÐµÐ´Ñ‚, ÐœÐ°Ð¹Ð»Ð· Ð . ÐŸÐ°Ð»Ð¼ÐµÑ€",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"109","Solugen",2021,2,"Method for energy consumption simulation based big data considering characteristic factor",NA,NA,NA,NA,2017-09-14,2017,NA,NA,NA,NA,NA,NA,NA,NA,"ê¹€ì¸ì¤‘, ìœ¤ì„±ë¯¼, ìœ ë³´ëžŒ",0,1,0,"Texas, USA","biomass,injection",16384,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,9824,0.4,9824,NA,NA,"0",NA,0,0,0,40,2021-05-17
"110","Climeworks",2020,1,"Low-pressure drop structure of particle adsorbent bed for improved adsorption gas separation process",NA,NA,"WO-2018083109-A1",NA,2017-11-01,2017,NA,NA,NA,NA,NA,NA,NA,NA,"Jan AndrÃ© Wurzbacher, Nicolas REPOND, Tobias RÃœESCH, Sebastian Sauerbeck, Christoph Gebald",0,1,1,"Iceland","DAC",50,0,1000,767.5,775,767.5,NA,NA,NA,NA,50,NA,NA,1,322.5,0,"1",0,-7.5,-321.5,1,29,2020-05-18
"111","Climeworks",2020,1,"Low-pressure drop structure of particle adsorbent bed for improved adsorption gas separation process",NA,NA,"US-11007470-B2",NA,2017-11-01,2017,NA,NA,NA,NA,NA,NA,NA,NA,"Jan AndrÃ© Wurzbacher, Nicolas REPOND, Tobias RUESCH, Sebastian SAUERBECK, Christoph Gebald",0,1,1,"Iceland","DAC",50,0,1000,767.5,775,767.5,NA,NA,NA,NA,50,NA,NA,1,322.5,0,"1",0,-7.5,-321.5,1,29,2020-05-18
"112","8 Rivers",2021,4,"Systems and methods for power production with integrated production of hydrogen",NA,NA,"KR-20220066419-A",NA,2017-11-09,2017,NA,NA,NA,NA,NA,NA,NA,NA,"ë¡œë“œë‹ˆ ì¡´ ì•ŒëžŒ, ë‚˜ë¹„ë“œ ë¼íŒŒí‹°",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"113","8 Rivers",2021,4,"SYSTEM AND METHOD FOR THE PRODUCTION OF COMBINED ENERGY AND THE PRODUCTION OF HYDROGEN",NA,NA,"BR-112019009408-B1",NA,2017-11-09,2017,NA,NA,NA,NA,NA,NA,NA,NA,"Rodney John Allam",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"114","8 Rivers",2021,4,"Sistema e mÃ©todo para a produÃ§Ã£o de energia combinada e a produÃ§Ã£o de hidrogÃªnio",NA,NA,"BR-112019009408-B1",NA,2017-11-09,2017,NA,NA,NA,NA,NA,NA,NA,NA,"Rodney John Allam",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"115","Climeworks",2020,1,"Methods for the removal of co2 from atmospheric air or other co2-containing gas in order to achieve co2 emissions reductions or negative co2 emissions",NA,NA,"US-2020061519-A1",NA,2017-11-10,2017,NA,NA,NA,NA,NA,NA,NA,NA,"Alexander SPITERI, Valentin GUTKNECHT, Jan Andre WURZBACHER, Christoph Gebald",0,1,1,"Iceland","DAC",50,0,1000,767.5,775,767.5,NA,NA,NA,NA,50,NA,NA,1,322.5,0,"1",0,-7.5,-321.5,1,29,2020-05-18
"116","8 Rivers",2021,4,"Gas turbine installation",NA,NA,"JP-2018048646-A",NA,2017-11-22,2017,NA,NA,NA,NA,NA,NA,NA,NA,"ä¼Šæ±ã€€æ­£é›„, Masao Ito, æ­£é›„ ä¼Šæ±, ä¿¡åš æ²–åœ’, Nobuhiro Okisono, ä¿¡åš æ²–åœ’, ç§€å¹¸ å‰ç”°, Hideyuki Maeda, ç§€å¹¸ å‰ç”°, å²©äº•ã€€ä¿æ†², Yasunori Iwai, ä¿æ†² å²©äº•",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"117","IndigoAg",2020,1,"METHODS FOR IMPROVING A TRAIT OF AGRONOMIC IMPORTANCE IN A SOYBEAN, WHEAT, PEANUT AND RICE PLANT, AGROCHEMICALLY ACTIVE MICROBIAL FORMULATION AND SYNTHETIC COMPOSITION",NA,NA,"BR-112019018234-B1",NA,2017-12-01,2017,NA,NA,NA,NA,NA,NA,NA,NA,"Raymond Riley",0,1,0,"Midwest and Southern USA","soil,farming",550000,0,100,20,NA,20,NA,NA,NA,NA,1e+05,NA,NA,1e+05,NA,NA,"0",0,0,0,0,45,2020-05-18
"118","IndigoAg",2020,1,"MÃ©todos de aprimoramento de um traÃ§o de importÃ¢ncia agronÃ´mica em uma planta de soja, de trigo, de amendoim e de arroz, formulaÃ§Ã£o microbiana agroquimicamente ativa e composiÃ§Ã£o sintÃ©tica",NA,NA,"BR-112019018234-B1",NA,2017-12-01,2017,NA,NA,NA,NA,NA,NA,NA,NA,"Raymond Riley",0,1,0,"Midwest and Southern USA","soil,farming",550000,0,100,20,NA,20,NA,NA,NA,NA,1e+05,NA,NA,1e+05,NA,NA,"0",0,0,0,0,45,2020-05-18
