"","applicant_name","year","quarter","patent_name","patent_region","patent_no","patent_no_list","application_number","file_date","file_year","citations","abandoned","classification_1","classification_2","classification_3","classification_4","classification_7","classification_8","inventor_1","previous_application_stripe","applied","awarded","location","tags","volume","negativity_rating","permanence","price","contractprice","current_cost_per_tonne","capex","opex","quantification","thirdparty verification","net_neg sequestration_todate","lifetime mtco2e","gross project emissions","offer_quantity","contract_quantity","R_and_D_offer","awarded_factor","realised_cost_decrease","price_contract_diff","quantity_contract_diff","awardednum","sum_patents","treat_date"
"16","Ensyn Biochar",2021,2,"BIO-OIL WOOD PROTECTION",NA,NA,"DE-69936662-T2",NA,1999-10-25,1999,NA,NA,NA,NA,NA,NA,NA,NA,"Barry Greely FREEL, Robert G. Nepean GRAHAM",0,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,13,2021-05-17
"17","Ekovilla",2020,1,"Process for making wood fiber insulation",NA,NA,"FI-19992847-A",NA,1999-12-31,1999,NA,NA,NA,NA,NA,NA,NA,NA,"Reijo Louko",0,1,0,"Kouvola, Finland","biomass,insulation",21847,1,50,21.5,NA,21.5,NA,NA,NA,NA,21847,NA,NA,19031,NA,NA,"0",0,0,0,0,10,2020-05-18
"18","VEOLIA ES UK",2023,3,"Fluid spraying apparatus",NA,"CA2361632A1",NA,"CA002361632A",2000-02-11,2000,NA,1,NA,NA,NA,NA,NA,NA,"Dennis Barker",1,1,0,NA,NA,NA,NA,NA,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,847,NA,NA,"0",NA,0,0,0,1,2023-09-01
"19","Ensyn Biochar",2021,2,"Natural resin formulations",NA,NA,"US-6844420-B1",NA,2000-07-28,2000,NA,NA,NA,NA,NA,NA,NA,NA,"Barry Freel, Robert G. Graham, R̩gi Giroux",0,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,13,2021-05-17
"20","Vaulted",2022,2,"Method for biosolid disposal and methane generation",NA,NA,"AU-6911400-A",NA,2000-08-16,2000,NA,NA,NA,NA,NA,NA,NA,NA,"Roman Bilak, Michael S. Bruno, Maurice B. Dusseault",0,1,0,NA,NA,NA,NA,NA,300,NA,291,NA,NA,NA,NA,NA,9506,198,9308,NA,NA,"0",9,0,0,0,5,2022-06-30
"21","Vaulted",2023,3,"Method for biosolid disposal and methane generation",NA,NA,"AU-6911400-A",NA,2000-08-16,2000,NA,NA,NA,NA,NA,NA,NA,NA,"Roman Bilak, Michael S. Bruno, Maurice B. Dusseault",1,1,1,NA,"Biomass injection",NA,NA,NA,300,300,300,NA,NA,NA,NA,NA,NA,NA,1666.66,1666,0,"1",0,0,0.660000000000082,1,5,2023-09-01
"22","Vaulted",2022,2,"Method for biosolid disposal and methane generation",NA,NA,"AU-2002213006-B2",NA,2001-10-02,2001,NA,NA,NA,NA,NA,NA,NA,NA,"Roman Bilak, Michael S. Bruno, Maurice B. Dusseault",0,1,0,NA,NA,NA,NA,NA,300,NA,291,NA,NA,NA,NA,NA,9506,198,9308,NA,NA,"0",9,0,0,0,5,2022-06-30
"23","Vaulted",2022,2,"Method for biosolid disposal and methane generation",NA,NA,"AU-2002213006-A1",NA,2001-10-02,2001,NA,NA,NA,NA,NA,NA,NA,NA,"Roman Bilak, Michael S. Bruno, Maurice B. Dusseault",0,1,0,NA,NA,NA,NA,NA,300,NA,291,NA,NA,NA,NA,NA,9506,198,9308,NA,NA,"0",9,0,0,0,5,2022-06-30
"24","Vaulted",2022,2,"Method for biosolid disposal and methane generation",NA,NA,"CA-2559624-C",NA,2001-10-02,2001,NA,NA,NA,NA,NA,NA,NA,NA,"Michael S. Bruno, Maurice B. Dusseault, Roman Bilak",0,1,0,NA,NA,NA,NA,NA,300,NA,291,NA,NA,NA,NA,NA,9506,198,9308,NA,NA,"0",9,0,0,0,5,2022-06-30
"25","Vaulted",2023,3,"Method for biosolid disposal and methane generation",NA,NA,"AU-2002213006-B2",NA,2001-10-02,2001,NA,NA,NA,NA,NA,NA,NA,NA,"Roman Bilak, Michael S. Bruno, Maurice B. Dusseault",1,1,1,NA,"Biomass injection",NA,NA,NA,300,300,300,NA,NA,NA,NA,NA,NA,NA,1666.66,1666,0,"1",0,0,0.660000000000082,1,5,2023-09-01
