"","applicant_name","year","quarter","applied","awarded","location","tags","volume","negativity_rating","permanence","price","contractprice","current_cost_per_tonne","capex","opex","quantification","thirdparty verification","net_neg sequestration_todate","lifetime mtco2e","gross project emissions","offer_quantity","contract_quantity","R_and_D_offer","awarded_factor","realised_cost_decrease","price_contract_diff","quantity_contract_diff","awardednum","effective_date","decision_date","patent_name","patent_region","patent_no","patent_no_list","application_number","file_date","file_year","assignee","citations","abandoned","classification_1","classification_2","classification_3","classification_4","classification_5","classification_6","classification_7","classification_8","inventor_1","previous_application_stripe","sum_patents","treat_date"
"1","Vandersanden",2020,1,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,NA,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",NA,0,0,0,NA,NA,"Brick clay kneaded and rolled on sand-covered conveyor - using diabolo-shaped roller for complete sand-coating before placing in mould",NA,NA,"BE-892313-A",NA,1982-03-01,1982,"Steenfabrieken Vandersanden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,NA
"2","Ensyn Biochar",2021,2,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,NA,NA,"Pyrolysis of biomass to produce maximum liquid yields",NA,NA,"CA-1332580-C",NA,1986-07-30,1986,"Donald S. Scott, University Of Waterloo, Red Arrow Products Company Llc, Ensyn Technologies Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Donald S. Scott",0,13,NA
"3","Ensyn Biochar",2021,2,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,NA,NA,"Method and apparatus for rapid thermal processing",NA,NA,"CA-1283880-C",NA,1987-05-07,1987,"Dave A. Berg, Ensyn Engineering Associates Inc., Ensyn Technologies, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dave A. Berg",0,13,NA
"4","Ensyn Biochar",2021,2,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,NA,NA,"Method and apparatus for a circulating bed transport fast pyrolysis reactor system",NA,NA,"CA-2009021-C",NA,1990-01-31,1990,"Barry A. Freel, Robert G. Graham, Ensyn Technologies, Inc., Ensyn Engineering Associates, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barry A. Freel, Robert G. Graham",0,13,NA
"5","Ensyn Biochar",2021,2,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,NA,NA,"Water-soluble resin and resin product made by that method",NA,NA,"CA-2062780-A1",NA,1990-07-12,1990,"D. Andrew Himmelblau, Biocarbons Corporation, Ensyn Technologies Usa, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D. Andrew Himmelblau",0,13,NA
"6","Ensyn Biochar",2021,2,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,NA,NA,"Process for the thermal conversion of biomass to liquids",NA,NA,"US-5605551-A",NA,1993-11-24,1993,"University Of Waterloo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Donald S. Scott, Jan Piskorz, Desmond Radlein, Piotr Majerski",0,13,NA
"7","Ekovilla",2020,1,1,0,"Kouvola, Finland","biomass,insulation",21847,1,50,21.5,NA,NA,NA,NA,NA,NA,21847,NA,NA,19031,NA,NA,"0",NA,0,0,0,NA,NA,"FIBROUS PRODUCTS AND METHOD FOR THE PRODUCTION OF FLAME-RETARDANT FIBROUS PRODUCTS",NA,NA,"DE-69405385-D1",NA,1994-04-15,1994,"Ekovilla Oy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reijo Louko, Heikki Ahonen",0,10,NA
"8","Ensyn Biochar",2021,2,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,NA,NA,"Method and apparatus for a circulating bed transport fast pyrolysis reactor system",NA,NA,"US-5792340-A",NA,1995-04-07,1995,"Ensyn Technologies, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barry A. Freel, Robert G. Graham",0,13,NA
"9","Ensyn Biochar",2021,2,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,NA,NA,"Natural resin formulations",NA,NA,"CA-2228418-A1",NA,1998-01-30,1998,"Ensyn Technologies Inc., Ensyn Group Inc., Barry A. Freel, Robert Graham, Ensyn Renewables, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barry A. Freel, Robert Graham",0,13,NA
"10","Ensyn Biochar",2021,2,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,NA,NA,"Grill flavor and process for its preparation",NA,NA,"DE-69829910-T2",NA,1998-03-10,1998,"Ensyn Technologies, Inc., Greely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barry A. Greely Ontario Freel",0,13,NA
"11","Ensyn Biochar",2021,2,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,NA,NA,"Apparatus for a circulating bed transport fast pyrolysis reactor system",NA,NA,"US-5961786-A",NA,1998-06-15,1998,"Ensyn Technologies Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barry A. Freel, Robert G. Graham",0,13,NA
"12","Vandersanden",2020,1,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,NA,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",NA,0,0,0,NA,NA,"Ageing process for brick",NA,NA,"EP-0894590-A1",NA,1998-07-24,1998,"Steenfabrieken Vandersanden-Vijf V.D.S.-Vijf naamloze vennootschap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Camille Vanpee",0,16,NA
"13","Ensyn Biochar",2021,2,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,NA,NA,"Natural resin formulations",NA,NA,"CA-2319416-A1",NA,1999-01-29,1999,"Ensyn Technologies Inc., Barry Freel, Robert Graham, Regi Giroux, Ensyn Group Inc., Ensyn Renewables, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barry Freel, Robert Graham, Regi Giroux",0,13,NA
"14","Ensyn Biochar",2021,2,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,NA,NA,"Oral-topical dosage forms for delivering antibacterials/antibiotics to oral cavity to eradicate H. pylori as a concomitant treatment for peptic ulcers and other gastro-intestinal diseases",NA,NA,"US-6379651-B1",NA,1999-07-29,1999,"Josman Laboratories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Narayan Athanikar",0,13,NA
"15","Ekovilla",2020,1,1,0,"Kouvola, Finland","biomass,insulation",21847,1,50,21.5,NA,NA,NA,NA,NA,NA,21847,NA,NA,19031,NA,NA,"0",NA,0,0,0,NA,NA,"Patent FI4323U1",NA,NA,"FI-4323-U1",NA,1999-09-23,1999,"Ekovilla Oy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,NA
"16","Ensyn Biochar",2021,2,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,NA,NA,"BIO-OIL WOOD PROTECTION",NA,NA,"DE-69936662-T2",NA,1999-10-25,1999,"Ensyn Technologies Inc., Ottawa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barry Greely FREEL, Robert G. Nepean GRAHAM",0,13,NA
"17","Ekovilla",2020,1,1,0,"Kouvola, Finland","biomass,insulation",21847,1,50,21.5,NA,NA,NA,NA,NA,NA,21847,NA,NA,19031,NA,NA,"0",NA,0,0,0,NA,NA,"Process for making wood fiber insulation",NA,NA,"FI-19992847-A",NA,1999-12-31,1999,"Ekovilla Oy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reijo Louko",0,10,NA
"18","VEOLIA ES UK",2023,3,1,0,NA,NA,NA,NA,NA,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,847,NA,NA,"0",NA,0,0,0,NA,NA,"Fluid spraying apparatus",NA,"CA2361632A1",NA,"CA002361632A",2000-02-11,2000,"Veolia ES UK Ltd",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Dennis Barker",1,1,NA
"19","Ensyn Biochar",2021,2,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,NA,NA,"Natural resin formulations",NA,NA,"US-6844420-B1",NA,2000-07-28,2000,"Ensyn Renewables, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barry Freel, Robert G. Graham, R̩gi Giroux",0,13,NA
"20","Vaulted",2022,2,1,0,NA,NA,NA,NA,NA,300,NA,291,NA,NA,NA,NA,NA,9506,198,9308,NA,NA,"0",9,0,0,0,NA,NA,"Method for biosolid disposal and methane generation",NA,NA,"AU-6911400-A",NA,2000-08-16,2000,"Geoenvironment Technologies Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman Bilak, Michael S. Bruno, Maurice B. Dusseault",0,5,NA
"21","Vaulted",2023,3,1,1,NA,"Biomass injection",NA,NA,NA,300,300,NA,NA,NA,NA,NA,NA,NA,NA,1666.66,1666,0,"1",NA,0,0.660000000000082,1,NA,NA,"Method for biosolid disposal and methane generation",NA,NA,"AU-6911400-A",NA,2000-08-16,2000,"Geoenvironment Technologies Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman Bilak, Michael S. Bruno, Maurice B. Dusseault",1,5,NA
