"","key","m_y","patents_in_period","file_date","file_year","quarter","year","treat_date","unique_patents_in_period","previous_application_stripe","applied","awarded","location","tags","volume","negativity_rating","permanence","price","contractprice","current_cost_per_tonne","capex","opex","quantification","thirdparty verification","net_neg sequestration_todate","lifetime mtco2e","gross project emissions","offer_quantity","contract_quantity","R_and_D_offer","awarded_factor","realised_cost_decrease","price_contract_diff","quantity_contract_diff","awardednum","sum_patents","year_factor","repeat_factor"
"14905","ZS220224",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,572,NA,572,205,314,53,NA,NA,961852,280,1000,NA,NA,"0",0,0,0,0,2,"2022","0"
"14906","Carbo Culture20201",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,0,"Central Valley, CA, USA","biomass,biochar",56,0,568,1000,NA,1000,NA,NA,NA,NA,62,NA,NA,42,NA,NA,"0",0,0,0,0,2,"2020","0"
"14907","Carbo Culture20212",Jun 2014,NA,NA,NA,NA,NA,NA,NA,1,1,0,"Central Valley, CA, USA","biomass,biochar",56,0,568,1000,NA,1300,NA,NA,NA,NA,NA,1067.38,66.8,1067.38,NA,NA,"0",-300,0,0,0,2,"2021","1"
"14908","Project Vesta20201",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,1,"Caribbean","Enhanced weathering",200,0,1000,50,75,50,NA,NA,NA,NA,200,NA,NA,200,3333.3,0,"1",0,-25,-3133.3,1,3,"2020","0"
"14909","Sustaera20214",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,1,"North Carolina, USA","DAC",3500,0,1000,777.78,700,1500,NA,NA,NA,NA,NA,3500,350,3500,714,0,"1",-722.22,77.78,2786,1,2,"2021","0"
"14910","Brilliant Planet20233",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,800,NA,256,NA,NA,NA,NA,NA,NA,NA,650,NA,NA,"0",544,0,0,0,5,"2023","0"
"14911","CarbonBuilt20212",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,1,"USA","Storage",992,0,1000,260,260,233,NA,NA,NA,NA,NA,992,23,992,968,0,"1",27,0,24,1,6,"2021","0"
"14912","Seaweed Generation20222",Jun 2014,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,400,NA,270,NA,NA,NA,NA,NA,1470,63.21,1412,NA,NA,"0",130,0,0,0,4,"2022","1"
"14913","Seaweed Generation20224",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,393,NA,393,74,225,71,23,NA,1290,18,1272,NA,NA,"0",0,0,0,0,4,"2022","0"
"14914","Ebb Carbon20214",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,1,"California, USA","Capture and storage",294,0,1000,1950,1950,1950,NA,NA,NA,NA,NA,294,37,294,256,0,"1",0,0,38,1,3,"2021","0"
